38°18′12″N,38.30336815,122°17′09″W,-122.28582595,0.4069,7.962°
38°17′29″N,38.29132323,122°17′23″W,-122.28958648,0.4542,198.968°
38°18′15″N,38.30416618,122°17′03″W,-122.28413201,0.4815,17.93°
38°17′40″N,38.29457859,122°17′21″W,-122.28923818,0.2417,212.184°
38°18′02″N,38.3005569,122°17′37″W,-122.29350889,0.4164,300.072°
38°17′30″N,38.29176928,122°17′19″W,-122.28870208,0.411,194.033°
38°18′14″N,38.30377199,122°17′23″W,-122.28962255,0.4561,340.857°
38°17′45″N,38.29593424,122°16′52″W,-122.28103079,0.3353,109.303°
38°17′43″N,38.29519192,122°17′14″W,-122.28714919,0.1629,185.431°
38°17′54″N,38.29839882,122°16′42″W,-122.27846901,0.4593,82.555°
38°18′02″N,38.30049281,122°16′49″W,-122.28029449,0.4108,60.185°
38°17′42″N,38.29493202,122°16′57″W,-122.28247883,0.2984,127.127°
38°17′30″N,38.2915341,122°17′25″W,-122.29034936,0.456,204.489°
38°18′02″N,38.30047037,122°16′49″W,-122.28014464,0.4171,60.925°
38°18′07″N,38.30184421,122°16′59″W,-122.28331505,0.3545,32.901°
38°17′39″N,38.29420791,122°17′38″W,-122.29398055,0.4494,239.193°
38°18′11″N,38.30301587,122°17′18″W,-122.28827599,0.3863,348.572°
38°18′05″N,38.30138802,122°17′33″W,-122.29243129,0.4024,311.392°
38°18′05″N,38.30151865,122°16′52″W,-122.28122558,0.4114,48.03°
38°17′46″N,38.29600986,122°17′36″W,-122.29325487,0.3623,253.054°
38°17′34″N,38.29273427,122°16′50″W,-122.28054062,0.4774,134.061°
38°17′42″N,38.29513108,122°17′32″W,-122.29228149,0.3376,240.482°
38°18′01″N,38.30034683,122°17′11″W,-122.28650873,0.1951,5.685°
38°17′42″N,38.29501589,122°17′33″W,-122.29262329,0.3577,240.835°
38°17′33″N,38.29236498,122°17′30″W,-122.29159797,0.4402,215.682°
38°17′45″N,38.29590099,122°17′06″W,-122.28501659,0.1512,138.455°
38°17′56″N,38.29897011,122°17′10″W,-122.28600066,0.1095,25.346°
38°17′58″N,38.29951352,122°17′32″W,-122.2921096,0.3155,295.64°
38°17′32″N,38.29229834,122°17′05″W,-122.28478009,0.3794,162.657°
38°17′39″N,38.2941123,122°17′24″W,-122.2900305,0.2925,215.95°
38°18′06″N,38.30176039,122°17′02″W,-122.283775,0.3365,29.869°
38°17′27″N,38.29080164,122°17′21″W,-122.28917918,0.4822,195.09°
38°17′52″N,38.29776882,122°16′40″W,-122.27765428,0.4999,88.169°
38°17′59″N,38.2997532,122°17′42″W,-122.29507098,0.4707,288.984°
38°17′53″N,38.29798093,122°17′30″W,-122.29161673,0.2596,276.774°
38°18′14″N,38.30385037,122°17′07″W,-122.28524809,0.445,11.366°
38°17′34″N,38.2927787,122°17′12″W,-122.28680543,0.329,179.437°
38°18′14″N,38.30381226,122°17′07″W,-122.28526974,0.4422,11.284°
38°18′01″N,38.3001595,122°17′26″W,-122.29068879,0.2754,311.14°
38°17′45″N,38.29569621,122°17′44″W,-122.29542364,0.4814,254.668°
