37°25′47″N,37.42961257,122°09′54″W,-122.16487651,0.3862,9.811°
37°25′14″N,37.42066943,122°09′53″W,-122.16477084,0.2481,163.22°
37°25′20″N,37.42228796,122°10′22″W,-122.17267767,0.3836,250.878°
37°25′48″N,37.42987338,122°10′07″W,-122.1685286,0.4207,341.338°
37°25′40″N,37.42790534,122°09′49″W,-122.16358207,0.2961,27.528°
37°25′49″N,37.43015579,122°09′56″W,-122.16555586,0.4191,3.903°
37°25′33″N,37.42579512,122°09′35″W,-122.15982306,0.3625,71.211°
37°25′35″N,37.42641017,122°09′38″W,-122.16052378,0.3438,62.406°
37°25′41″N,37.42804713,122°09′45″W,-122.16253931,0.3345,35.471°
37°25′25″N,37.42355494,122°10′22″W,-122.17277642,0.3698,264.09°
37°25′46″N,37.42946608,122°09′49″W,-122.16355278,0.3955,20.494°
37°25′40″N,37.42779626,122°09′48″W,-122.1632756,0.2978,31.07°
37°25′18″N,37.42166404,122°09′51″W,-122.16426387,0.1959,149.492°
37°25′31″N,37.4253595,122°09′53″W,-122.16484933,0.1097,37.843°
37°25′34″N,37.4261585,122°09′43″W,-122.16193461,0.2679,58.029°
37°25′36″N,37.42657982,122°09′54″W,-122.16507668,0.1796,17.779°
37°25′27″N,37.42411234,122°10′16″W,-122.17115352,0.2787,270.092°
37°25′43″N,37.42869281,122°10′23″W,-122.173045,0.4968,309.652°
37°25′45″N,37.42916379,122°09′49″W,-122.16366768,0.3737,20.709°
37°25′16″N,37.42099711,122°09′45″W,-122.16247527,0.2919,137.394°
37°25′27″N,37.42411309,122°10′02″W,-122.16733914,0.0694,270.405°
37°25′23″N,37.42302807,122°09′33″W,-122.15921918,0.3836,101.196°
37°25′36″N,37.42662618,122°09′42″W,-122.16173585,0.2951,53.822°
37°25′23″N,37.4231655,122°10′25″W,-122.17350494,0.4129,260.945°
37°25′28″N,37.42451342,122°09′53″W,-122.16484535,0.0732,67.363°
37°25′04″N,37.41791074,122°09′53″W,-122.16479996,0.4339,170.712°
37°25′15″N,37.42082297,122°10′27″W,-122.17412107,0.4965,242.808°
37°25′05″N,37.41817987,122°09′57″W,-122.16577787,0.4099,177.715°
37°25′36″N,37.42659101,122°09′32″W,-122.15891049,0.4291,66.406°
